run_id,cv_mode,fold_id,track,variant,model_family,model_key,n_train,n_valid,mae,rmse,mape,mae_tier_centrum,mae_tier_vesten_rand,mae_event,mae_non_event,fit_status
P4_xgb_80_d4_lr006,fixed_export,cv_fold_1,policy,P4,xgboost,xgb_80_d4_lr006,61192,11529,0.1816914578733732,0.2240925498060084,157121.08199158168,0.1956069368014838,0.1560917750866594,0.1870499119319051,0.1785064716275469,ok
P4_xgb_80_d4_lr006,fixed_export,cv_fold_2,policy,P4,xgboost,xgb_80_d4_lr006,82114,10725,0.2651761203944937,0.3197029743895508,560.634389809969,0.2374739035728545,0.2880968845597483,0.2723264776258718,0.2605645786524776,ok
P4_xgb_80_d4_lr006,fixed_export,cv_fold_3,policy,P4,xgboost,xgb_80_d4_lr006,107789,22048,0.2273709821484763,0.2856567008385524,1082727.8570823865,0.297457963777906,0.1573856495134331,0.2355831665633937,0.2244852663500871,ok
F0_persistence_baseline,fold_safe,cv_fold_1,forecast,F0,baseline,persistence_baseline,61192,11529,0.0904605979778732,0.1343192383951703,1874.9106359717432,0.0904605979778732,,0.1016511094645707,0.087023512306959,ok
F0_persistence_baseline,fold_safe,cv_fold_2,forecast,F0,baseline,persistence_baseline,82114,10725,0.0886738591436911,0.1327966654112847,2014.167127733651,0.0886738591436911,,0.1013161194658546,0.0843612311383313,ok
F0_persistence_baseline,fold_safe,cv_fold_3,forecast,F0,baseline,persistence_baseline,107789,22048,0.0861574841189314,0.1323636336796264,25613.904923748807,0.0911929990447742,0.0757688488523621,0.089568167338879,0.0848691269318675,ok
F0_persistence_baseline,fixed_export,cv_fold_1,forecast,F0,baseline,persistence_baseline,61192,11529,0.084645413877735,0.1307895622580814,25700.480857910316,0.0948959343595167,0.0657879908534919,0.0855771712974458,0.0840915909777327,ok
F0_persistence_baseline,fixed_export,cv_fold_2,forecast,F0,baseline,persistence_baseline,82114,10725,0.0579236755920492,0.1134874895295287,23.840424821512077,0.0820244166028204,0.0379827660080818,0.0586493895654363,0.0574556346015442,ok
F0_persistence_baseline,fixed_export,cv_fold_3,forecast,F0,baseline,persistence_baseline,107789,22048,0.0570395579808611,0.1059216902465515,42031.534625262415,0.0790664118059886,0.0350446502816585,0.0584528392813116,0.0565429388147267,ok
F1_ridge_a1_0,fold_safe,cv_fold_1,forecast,F1,ridge,ridge_a1_0,61192,11529,0.2193684115631306,0.2643784887836068,15891.955566806322,0.2193684115631306,,0.2408722973261685,0.2127636466501976,ok
F1_ridge_a1_0,fold_safe,cv_fold_2,forecast,F1,ridge,ridge_a1_0,82114,10725,0.2431408071653667,0.2899898341138218,18977.558513690263,0.2431408071653667,,0.2630230204576793,0.2363584290408915,ok
F1_ridge_a1_0,fold_safe,cv_fold_3,forecast,F1,ridge,ridge_a1_0,107789,22048,0.237754453859035,0.2852917955438667,465104.55162274255,0.2246409191527891,0.2648086342407731,0.2564093032293856,0.2307077398401779,ok
F1_ridge_a1_0,fixed_export,cv_fold_1,forecast,F1,ridge,ridge_a1_0,61192,11529,0.2102482500611355,0.268763933398357,98047.47934522683,0.2216738044198408,0.1892291698874482,0.2137168533468458,0.2081865633066088,ok
F1_ridge_a1_0,fixed_export,cv_fold_2,forecast,F1,ridge,ridge_a1_0,82114,10725,0.2377021750203029,0.2860020006573829,502.0142002279126,0.2062538483867047,0.2637224636781241,0.2474002145162267,0.2314475345171802,ok
F1_ridge_a1_0,fixed_export,cv_fold_3,forecast,F1,ridge,ridge_a1_0,107789,22048,0.2203682362517757,0.275325227363063,740739.917866713,0.2799629860983419,0.1608599182396497,0.2188496435585471,0.2209018612539381,ok
F1_rf_90_d12_l2,fold_safe,cv_fold_1,forecast,F1,random_forest,rf_90_d12_l2,61192,11529,0.1361032715852469,0.1770417496470026,6219.073624242966,0.1361032715852469,,0.1335737121921737,0.136880207684548,ok
F1_rf_90_d12_l2,fold_safe,cv_fold_2,forecast,F1,random_forest,rf_90_d12_l2,82114,10725,0.2339336424009218,0.281937852529986,15617.839354363696,0.2339336424009218,,0.2084747587812681,0.2426183784912575,ok
F1_rf_90_d12_l2,fold_safe,cv_fold_3,forecast,F1,random_forest,rf_90_d12_l2,107789,22048,0.3506403852139071,0.4129421246222171,389176.030391284,0.3207439096239253,0.4123189990665368,0.3655318117424312,0.3450152728371697,ok
F1_rf_90_d12_l2,fixed_export,cv_fold_1,forecast,F1,random_forest,rf_90_d12_l2,61192,11529,0.1391573397584026,0.1787657270849487,152286.87838725263,0.1159617206169587,0.1818292804893003,0.1389239305454323,0.1392960747601101,ok
F1_rf_90_d12_l2,fixed_export,cv_fold_2,forecast,F1,random_forest,rf_90_d12_l2,82114,10725,0.3229325647815286,0.41900350373111,669.3656615596117,0.3279795459894589,0.3187567016454392,0.3212889272260413,0.3239926101681581,ok
